keys,zh_TW,en
SKILL_MELEE_ATTACK_NAME,近戰攻擊,Melee Attack
SKILL_RANGED_ATTACK_NAME,遠程攻擊,Ranged Attack
SKILL_POWER_STRIKE_NAME,強力一擊,Power Strike
SKILL_AIMED_SHOT_NAME,瞄準射擊,Aimed Shot
SKILL_SHIELD_BASH_NAME,盾牌推擊,Shield Bash
SKILL_CORROSIVE_MIRE_NAME,腐蝕泥沼,Corrosive Mire
SKILL_HEAL_NAME,治癒術,Heal
SKILL_TARGET_ALLY,目標：自己或友方單位,Target: Self or ally
SKILL_EFFECT_HEAL,效果：回復 %d HP,Effect: Restores %d HP
HEAL_PREVIEW_TITLE,治療預覽：%s,Healing preview: %s
HEAL_PREVIEW_AMOUNT,回復 %d HP,Restore %d HP
SKILL_TARGET_CELL,目標：地面格,Target: Ground cell
SKILL_TARGET_ENEMY,目標：敵方單位,Target: Enemy unit
SKILL_TYPE_MELEE,類型：近戰,Type: Melee
SKILL_TYPE_RANGED,類型：遠程,Type: Ranged
SKILL_RANGE,射程：%d 格,Range: %d tiles
SKILL_ATTACK_BONUS,攻擊加值：%+d,Attack modifier: %+d
SKILL_DAMAGE_BONUS,傷害加值：%+d,Damage modifier: %+d
SKILL_EFFECT_PUSH,效果：命中後推動目標 1 格；受阻時造成碰撞傷害,Effect: Pushes the target 1 tile on hit; obstruction deals collision damage
SKILL_EFFECT_MIRE,效果：建立腐蝕泥沼，移動成本 +1，持續 %d 回合,Effect: Creates corrosive mire; movement cost +1 for %d rounds
ATTACK_PREVIEW_TITLE,攻擊預覽：%s,Attack preview: %s
ATTACK_PREVIEW_RESOURCES,HP %d / %d｜MP %d,HP %d / %d | MP %d
ATTACK_PREVIEW_DAMAGE,傷害 %d,Damage %d
ATTACK_PREVIEW_HIT,命中 %d%%,Hit %d%%
ATTACK_PREVIEW_BLOCK,格擋 %d%%,Block %d%%
ATTACK_PREVIEW_CRITICAL,暴擊率 %d%%,Critical chance %d%%
